,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
XRCC5,0.4886,0.5114000000000001,-0.04560790312097207,0.0005924474,0.00069467415,1e-05,0.25,-0.17333868,-0.22969294,0.9245467,-4.1105146,4.562454,0.93520105,0.7369358,0.5208690680388793,0.4582326764144946,6.115470886230469,7.407399654388428,False,5kpbmc vs Rest,5kpbmc,Rest
PLEK,0.4886,0.5114000000000001,-0.04560790312097207,0.0004872414,0.00039955185,1e-05,0.25,0.13788736,0.20689201,3.9405704,-9.480859,12.951431,1.1835334,0.56389064,0.40270630836668575,0.32155117609663064,5.288129806518555,4.372757434844971,False,5kpbmc vs Rest,5kpbmc,Rest
CALHM6,0.4886,0.5114000000000001,-0.04560790312097207,5.776841e-05,5.2046405e-05,1e-05,0.25,0.20617566,0.31833696,2.621105,-9.371092,10.111555,0.14789404,0.07450731,0.10806174957118353,0.06255562619198983,0.5735804438591003,0.4726039171218872,False,5kpbmc vs Rest,5kpbmc,Rest
MARCH1,0.4886,0.5114000000000001,-0.04560790312097207,0.00021880188,0.00026411127,1e-05,0.25,0.8843079,0.71738243,5.515391,-14.2289915,15.426271,0.61921096,0.42072472,0.26396035829998094,0.23242212333121423,2.244028091430664,2.718515157699585,False,5kpbmc vs Rest,5kpbmc,Rest
MID1IP1,0.4884,0.5116,-0.046408326539638556,0.0001801863,0.00015699312,1e-05,0.25,0.20111132,0.23731804,1.2107011,-4.9509153,6.247095,0.36668572,0.22110617,0.23346674290070515,0.1621106166560712,1.8688493967056274,1.675607681274414,False,5kpbmc vs Rest,5kpbmc,Rest
CENPV,0.4884,0.5116,-0.046408326539638556,4.0173705e-05,4.631234e-05,1e-05,0.25,-0.1830683,-0.30220795,2.852544,-7.6426897,9.364922,0.04745569,0.04195804,0.04535925290642272,0.03636363636363636,0.4765686094760895,0.5494477152824402,False,5kpbmc vs Rest,5kpbmc,Rest
VASH1,0.4884,0.5116,-0.046408326539638556,1.7376144e-05,2.0792962e-05,1e-05,0.25,-0.66974235,-0.69502115,3.1310024,-10.432569,12.011062,0.050695635,0.042975206,0.043072231751477036,0.03827082008900191,0.15552495419979095,0.2372644990682602,False,5kpbmc vs Rest,5kpbmc,Rest
CST3,0.4882,0.5118,-0.04720876482230274,0.0023222815,0.0023995186,1e-05,0.25,0.30573708,0.21001792,5.1369243,-12.809296,16.227772,9.678483,5.7098536,0.339241471316943,0.3154481881754609,24.344860076904297,23.33857536315918,False,5kpbmc vs Rest,5kpbmc,Rest
SULT1A1,0.4882,0.5118,-0.04720876482230274,0.00016475175,0.00017084098,1e-05,0.25,-0.18908077,-0.24324179,2.261841,-5.958457,6.579487,0.4488279,0.29421487,0.22755860491709548,0.1898283534647171,1.7094496488571167,1.6825215816497803,False,5kpbmc vs Rest,5kpbmc,Rest
C1orf162,0.4882,0.5118,-0.04720876482230274,0.0005320582,0.0005954911,1e-05,0.25,-0.25039306,-0.19737816,2.2052145,-7.09161,11.94427,1.6062512,1.028862,0.465599390127692,0.41195168467895743,6.728816032409668,7.224575519561768,False,5kpbmc vs Rest,5kpbmc,Rest
DMXL2,0.4882,0.5118,-0.04720876482230274,0.00018415568,0.00014538897,1e-05,0.25,0.4558036,0.38374662,4.0938034,-10.630223,11.78322,0.48961312,0.25861412,0.2193634457785401,0.1628734901462174,1.7641487121582031,1.3015663623809814,False,5kpbmc vs Rest,5kpbmc,Rest
BASP1,0.4878,0.5122,-0.048809687007023594,0.000109035136,0.00015183006,1e-05,0.25,-1.2999648,-1.3316956,5.6884966,-14.941368,12.937877,0.34591195,0.2700572,0.16009148084619781,0.14799745708836617,1.1967570781707764,1.5062586069107056,False,5kpbmc vs Rest,5kpbmc,Rest
ZNF185,0.4878,0.5122,-0.048809687007023594,2.7374712e-05,1.349124e-05,1e-05,0.25,1.0111635,1.0322618,3.260286,-8.742356,11.643942,0.06803888,0.023267642,0.05546026300743282,0.021106166560712014,0.2488802671432495,0.12502624094486237,False,5kpbmc vs Rest,5kpbmc,Rest
BRCA2,0.4878,0.5122,-0.048809687007023594,1.9748666e-05,1.4390162e-05,1e-05,0.25,0.4401066,0.44737053,1.626645,-6.200841,8.378043,0.0344959,0.01983471,0.027825424051839145,0.015511760966306421,0.18965914845466614,0.14885812997817993,False,5kpbmc vs Rest,5kpbmc,Rest
DCPS,0.4876,0.5124,-0.04961017142285229,8.834072e-05,0.000105742976,1e-05,0.25,-0.2477887,-0.2442851,1.1060536,-5.0594597,4.929468,0.14770345,0.16223776,0.12445206784829427,0.1076923076923077,0.8520282506942749,1.125380277633667,False,5kpbmc vs Rest,5kpbmc,Rest
HLA-DRA,0.4876,0.5124,-0.04961017142285229,0.004037098,0.0053721364,1e-05,0.25,-0.11406775,-0.11567545,4.9519324,-12.87062,15.368229,13.941872,8.860648,0.4398704021345531,0.44094087730451365,41.362911224365234,49.9464111328125,False,5kpbmc vs Rest,5kpbmc,Rest
NCAPD3,0.4876,0.5124,-0.04961017142285229,6.418014e-05,5.206331e-05,1e-05,0.25,0.3234466,0.25684404,1.4728688,-6.0965242,7.750766,0.064798936,0.048569612,0.060034305317324184,0.040686586141131596,0.6363911032676697,0.446243554353714,False,5kpbmc vs Rest,5kpbmc,Rest
CXCL16,0.4876,0.5124,-0.04961017142285229,4.1181735e-05,7.9521626e-05,1e-05,0.25,-0.4990528,-0.54505825,4.224666,-13.826434,11.576036,0.1341719,0.15371901,0.09491137793024586,0.10896376350921805,0.40419042110443115,0.7165341973304749,False,5kpbmc vs Rest,5kpbmc,Rest
GPR155,0.4874,0.5126,-0.0504106717302244,0.00019030442,0.00017614475,1e-05,0.25,0.15188791,0.21605015,1.6458354,-8.452841,7.5063887,0.20011435,0.13871583,0.14846578997522394,0.10934520025429116,1.7140289545059204,1.5446475744247437,False,5kpbmc vs Rest,5kpbmc,Rest
GNB5,0.4874,0.5126,-0.0504106717302244,0.00017368124,0.00020739577,1e-05,0.25,-0.1714293,-0.22971582,2.9382465,-8.6164,8.691502,0.13455307,0.126637,0.09700781398894606,0.10692943420216147,1.4738683700561523,1.8884187936782837,False,5kpbmc vs Rest,5kpbmc,Rest
ETV6,0.4874,0.5126,-0.0504106717302244,0.00013497897,0.00015425106,1e-05,0.25,-0.24693464,-0.23372746,1.0296583,-3.6676998,6.510437,0.2555746,0.17889383,0.1833428625881456,0.14469167196439925,1.1681004762649536,1.3523081541061401,False,5kpbmc vs Rest,5kpbmc,Rest
ADGRG5,0.4874,0.5126,-0.0504106717302244,2.395291e-05,4.5775858e-05,1e-05,0.25,-0.92072254,-0.92046547,4.003452,-11.9998,11.331906,0.03373356,0.043865226,0.028968934629311986,0.03979656706929434,0.25912630558013916,0.5091314315795898,False,5kpbmc vs Rest,5kpbmc,Rest
RECQL4,0.4874,0.5126,-0.0504106717302244,4.216379e-06,8.686728e-06,1e-05,0.25,-1.1210667,-1.1949348,2.7322454,-10.446822,8.493443,0.0032399467,0.008010171,0.0030493615399275775,0.005975842339478703,0.019531527534127235,0.03960524499416351,False,5kpbmc vs Rest,5kpbmc,Rest
H1F0,0.4872,0.5127999999999999,-0.051211188186101375,3.0566884e-05,2.3047356e-05,1e-05,0.25,0.46755722,0.497437,3.4877694,-11.394836,10.761746,0.08805031,0.042466626,0.06518010291595197,0.03547361729179911,0.33409151434898376,0.2836029827594757,False,5kpbmc vs Rest,5kpbmc,Rest
HSPA8,0.4872,0.5127999999999999,-0.051211188186101375,0.002457899,0.0021892283,1e-05,0.25,0.5367951,0.20155573,1.8012662,-4.5676394,5.944414,3.4532113,2.078576,0.8004574042309891,0.7001907183725365,24.558225631713867,24.475801467895508,False,5kpbmc vs Rest,5kpbmc,Rest
LRRN3,0.487,0.513,-0.05201172104747631,0.00016869248,0.00011591331,1e-05,0.25,1.7553549,1.9705839,6.1019745,-15.924072,16.577387,0.1547551,0.057469804,0.09929483514389174,0.043102352193261285,1.8530750274658203,1.124496340751648,False,5kpbmc vs Rest,5kpbmc,Rest
SPATS2L,0.487,0.513,-0.05201172104747631,3.114619e-05,2.5791755e-05,1e-05,0.25,0.39054513,0.38718367,2.2195325,-6.8180714,8.263035,0.07585287,0.028099174,0.0548885077186964,0.02530197075651621,0.32731935381889343,0.23781156539916992,False,5kpbmc vs Rest,5kpbmc,Rest
PDCL3,0.487,0.513,-0.05201172104747631,0.0001298872,0.00015056846,1e-05,0.25,-0.209305,-0.23006105,1.4244503,-9.1946335,6.7289686,0.20354488,0.16223776,0.16847722508099866,0.13528289891926257,1.229883074760437,1.5858591794967651,False,5kpbmc vs Rest,5kpbmc,Rest
MYL6B,0.4868,0.5132,-0.05281227057137283,4.472851e-05,5.278631e-05,1e-05,0.25,-0.31148365,-0.2888174,1.6787782,-6.564046,5.484066,0.060415477,0.06509854,0.05069563560129598,0.05060394151303242,0.40443670749664307,0.48027563095092773,False,5kpbmc vs Rest,5kpbmc,Rest
ENO1,0.4868,0.5132,-0.05281227057137283,0.0010186466,0.0012110057,1e-05,0.25,-0.3062964,-0.23300028,0.78886425,-4.390069,5.1270466,2.0344958,1.6597584,0.657518582046884,0.6542911633820725,10.594822883605957,13.252082824707031,False,5kpbmc vs Rest,5kpbmc,Rest
LY86,0.4868,0.5132,-0.05281227057137283,0.00019359632,0.00020236557,1e-05,0.25,0.69775206,0.47341394,5.1864314,-13.413973,14.953311,0.69982845,0.44068658,0.270821421764818,0.22479338842975208,2.2370834350585938,2.269174814224243,False,5kpbmc vs Rest,5kpbmc,Rest
LMO2,0.4866,0.5134000000000001,-0.05361283701484765,0.0001634875,0.00015426996,1e-05,0.25,1.1568446,1.2043772,5.851548,-14.472046,14.9710655,0.63121784,0.3618563,0.24147131694301505,0.18893833439287985,1.7317785024642944,1.5495153665542603,False,5kpbmc vs Rest,5kpbmc,Rest
DNPH1,0.4866,0.5134000000000001,-0.05361283701484765,0.00015307788,0.00017577711,1e-05,0.25,-0.20337991,-0.21829844,1.824738,-6.6529064,5.633028,0.23232323,0.18474253,0.1841052029731275,0.14291163382072472,1.3960380554199219,1.6991175413131714,False,5kpbmc vs Rest,5kpbmc,Rest
WDR4,0.4866,0.5134000000000001,-0.05361283701484765,1.8894665e-05,2.6192862e-05,1e-05,0.25,-0.3834997,-0.36864614,1.5666162,-9.145437,5.9935255,0.028968934,0.030260649,0.0274442538593482,0.02568340750158932,0.1886555552482605,0.2853282392024994,False,5kpbmc vs Rest,5kpbmc,Rest
ASCL2,0.4866,0.5134000000000001,-0.05361283701484765,8.280532e-05,0.00011998006,1e-05,0.25,-0.94061184,-0.78683376,5.2462974,-15.181452,14.771643,0.17152658,0.13617292,0.11949685534591195,0.10921805467260012,0.8992124199867249,1.3036844730377197,False,5kpbmc vs Rest,5kpbmc,Rest
PRDX2,0.4864,0.5136000000000001,-0.054413420634988885,0.0004853536,0.00057301216,1e-05,0.25,-0.20865935,-0.20335007,2.156235,-7.1738195,5.9013395,0.67753,0.5562619,0.4049933295216314,0.3284170375079466,5.305871486663818,6.140371322631836,False,5kpbmc vs Rest,5kpbmc,Rest
PAK1IP1,0.4864,0.5136000000000001,-0.054413420634988885,5.687759e-05,6.858928e-05,1e-05,0.25,-0.2795226,-0.2536049,1.1374006,-7.8392878,6.813408,0.110539354,0.08353465,0.09700781398894606,0.07323585505403687,0.646847128868103,0.8014197945594788,False,5kpbmc vs Rest,5kpbmc,Rest
SULF2,0.4864,0.5136000000000001,-0.054413420634988885,0.00018891932,0.00018510674,1e-05,0.25,-0.25005254,-0.21168184,1.6460068,-5.451894,6.0394087,0.42995998,0.2535283,0.24242424242424243,0.18728544183089638,1.7696807384490967,1.7873679399490356,False,5kpbmc vs Rest,5kpbmc,Rest
CACNA2D4,0.4864,0.5136000000000001,-0.054413420634988885,2.8397775e-05,3.561095e-05,1e-05,0.25,-0.18969873,-0.3103099,2.2453597,-10.295778,9.416014,0.07451877,0.052256834,0.059843720221078714,0.046408137317228225,0.31307417154312134,0.3674977421760559,False,5kpbmc vs Rest,5kpbmc,Rest
PIK3AP1,0.4862,0.5138,-0.05521402168891876,0.0001409547,0.00016675564,1e-05,0.25,-0.4213459,-0.33571434,4.2398934,-10.834212,12.540769,0.36230227,0.24920534,0.20144844673146559,0.1774952320406866,1.2724424600601196,1.5658565759658813,False,5kpbmc vs Rest,5kpbmc,Rest
ICA1,0.4862,0.5138,-0.05521402168891876,1.6494077e-05,3.4893827e-05,1e-05,0.25,-0.58858454,-0.51282024,2.4391403,-12.391275,10.007263,0.01982085,0.018944692,0.017152658662092625,0.017164653528289893,0.15394192934036255,0.23497524857521057,False,5kpbmc vs Rest,5kpbmc,Rest
AC005224.3,0.486,0.514,-0.05601464043379267,8.1510894e-05,5.9242357e-05,1e-05,0.25,0.15719175,0.28979158,3.6974134,-9.601193,10.759166,0.05164856,0.028607756,0.041928721174004195,0.02530197075651621,0.6363118886947632,0.414078027009964,False,5kpbmc vs Rest,5kpbmc,Rest
SIDT2,0.486,0.514,-0.05601464043379267,9.6162905e-05,6.955089e-05,1e-05,0.25,0.3235537,0.25559473,1.2227528,-6.681196,7.9916954,0.19973318,0.08442467,0.14484467314655994,0.07450731087094724,0.9136576056480408,0.6813066601753235,False,5kpbmc vs Rest,5kpbmc,Rest
HACD1,0.4858,0.5142,-0.05681527712680012,1.3833417e-05,3.3167053e-05,1e-05,0.25,-0.81018287,-0.7541528,2.854786,-11.530874,10.7108965,0.016580904,0.014494596,0.014484467314655993,0.012205975842339479,0.12000595778226852,0.18683674931526184,False,5kpbmc vs Rest,5kpbmc,Rest
BAZ1B,0.4856,0.5144,-0.057615932025164907,0.00022324648,0.0001919415,1e-05,0.25,0.29504573,0.22351933,1.099195,-8.830742,7.8542433,0.2712026,0.16478068,0.2151705736611397,0.13337571519389702,2.0399515628814697,1.6408847570419312,False,5kpbmc vs Rest,5kpbmc,Rest
BUD23,0.4856,0.5144,-0.057615932025164907,0.00020650215,0.00024307783,1e-05,0.25,-0.14203154,-0.2226963,1.2112727,-5.1061106,5.2285986,0.34000382,0.2822632,0.2643415284924719,0.21691036236490782,2.366863250732422,3.0084495544433594,False,5kpbmc vs Rest,5kpbmc,Rest
SLC1A4,0.4856,0.5144,-0.057615932025164907,1.73422e-05,1.2727543e-05,1e-05,0.25,0.4488044,0.51164246,2.259103,-8.412817,8.442907,0.03506766,0.03687222,0.03068420049552125,0.02364907819453274,0.1498006135225296,0.12525729835033417,False,5kpbmc vs Rest,5kpbmc,Rest
FANCI,0.4856,0.5144,-0.057615932025164907,1.1965306e-05,1.6903945e-05,1e-05,0.25,-0.44203764,-0.504282,1.9256465,-6.9400473,7.581703,0.018105583,0.025810553,0.01429388221841052,0.017164653528289893,0.11820416897535324,0.18278288841247559,False,5kpbmc vs Rest,5kpbmc,Rest
SYK,0.4854,0.5146,-0.058416605386146125,0.00018898936,0.00013319307,1e-05,0.25,0.28072062,0.34011889,4.439182,-10.798404,12.164722,0.56413186,0.26153848,0.25748046502763483,0.1722822631913541,1.9221724271774292,1.369920253753662,False,5kpbmc vs Rest,5kpbmc,Rest
PYHIN1,0.4854,0.5146,-0.058416605386146125,0.00027629075,0.00034170668,1e-05,0.25,-0.23905964,-0.2828946,5.515522,-16.19521,16.448982,0.22165047,0.19173554,0.14694110920526016,0.14443738080101717,2.265617609024048,2.7520711421966553,False,5kpbmc vs Rest,5kpbmc,Rest
FBXO5,0.4854,0.5146,-0.058416605386146125,1.239508e-05,1.7052702e-05,1e-05,0.25,-0.37605533,-0.45727825,2.1927533,-8.396355,8.188845,0.028206594,0.02937063,0.022870211549456832,0.01792752701843611,0.1668647974729538,0.21382831037044525,False,5kpbmc vs Rest,5kpbmc,Rest
MAPKAPK3,0.485,0.515,-0.06001800852517214,0.0001682556,0.0001770259,1e-05,0.25,-0.20353784,-0.21723747,1.4617783,-7.1739206,8.772159,0.40575567,0.25009537,0.24528301886792453,0.18715829624920535,1.644575595855713,1.7372058629989624,False,5kpbmc vs Rest,5kpbmc,Rest
STAG3,0.485,0.515,-0.06001800852517214,3.4373927e-05,6.8679365e-05,1e-05,0.25,-0.40273312,-0.3071742,2.4751706,-10.974913,8.837123,0.03697351,0.056834076,0.03278063655422146,0.04348378893833439,0.37612614035606384,0.7676677107810974,False,5kpbmc vs Rest,5kpbmc,Rest
KNTC1,0.485,0.515,-0.06001800852517214,2.0563088e-05,2.4624362e-05,1e-05,0.25,-0.28522393,-0.35867262,1.9246324,-6.412634,6.5164194,0.021154946,0.022504767,0.020202020202020204,0.019071837253655435,0.26201584935188293,0.1885247677564621,False,5kpbmc vs Rest,5kpbmc,Rest
POU2F2,0.4848,0.5152,-0.06081873881791444,0.00068727025,0.00053009705,1e-05,0.25,0.23263994,0.17695475,1.6952273,-5.17834,6.9170504,1.4795121,0.70985377,0.4208118925100057,0.3396058486967578,6.875156879425049,5.283664226531982,False,5kpbmc vs Rest,5kpbmc,Rest
TRAT1,0.4846,0.5154000000000001,-0.06161948860266986,0.00024393637,0.0003460278,1e-05,0.25,0.028617315,-0.25209284,5.2331595,-13.461476,14.841265,0.26567563,0.2560712,0.18143701162569087,0.1842339478703115,2.8990681171417236,4.137956142425537,False,5kpbmc vs Rest,5kpbmc,Rest
GSTO1,0.4846,0.5154000000000001,-0.06161948860266986,0.00041755318,0.00049133017,1e-05,0.25,-0.57275707,-0.22606039,1.5001642,-8.8106575,7.3870335,0.99828476,0.6626828,0.44577854011816276,0.3922441195168468,4.321640491485596,5.1692376136779785,False,5kpbmc vs Rest,5kpbmc,Rest
SRP54,0.4844,0.5156000000000001,-0.06242025813687935,0.0001700277,0.00019815027,1e-05,0.25,-0.23058572,-0.23195124,0.8724877,-6.817149,6.6694174,0.24585478,0.22937062,0.20487897846388411,0.17304513668150032,1.7926149368286133,2.1063485145568848,False,5kpbmc vs Rest,5kpbmc,Rest
CORO1B,0.4844,0.5156000000000001,-0.06242025813687935,0.00034682264,0.0004673908,1e-05,0.25,-0.23707165,-0.1957159,1.5214463,-5.6699753,4.89351,0.5507909,0.42364907,0.3239946636173051,0.27056579783852513,3.3044209480285645,4.0745158195495605,False,5kpbmc vs Rest,5kpbmc,Rest
LRRCC1,0.4838,0.5162,-0.0648226878112248,2.895492e-05,2.3561386e-05,1e-05,0.25,0.4595061,0.30011606,1.9429513,-6.5653915,8.0012865,0.039832287,0.019198982,0.03220888126548504,0.018054672600127147,0.21761533617973328,0.2112671136856079,False,5kpbmc vs Rest,5kpbmc,Rest
ZDHHC7,0.4838,0.5162,-0.0648226878112248,0.0001408489,0.00013407567,1e-05,0.25,-0.11100676,-0.22657585,1.1893833,-3.1567917,7.718931,0.299028,0.17024793,0.20373546788641128,0.14392879847425302,1.222318410873413,1.3102422952651978,False,5kpbmc vs Rest,5kpbmc,Rest
RPL26L1,0.4838,0.5162,-0.0648226878112248,0.000100357094,0.000120764125,1e-05,0.25,-0.40519792,-0.23248386,1.0760056,-6.8417635,5.7142563,0.19897084,0.14481881,0.1646655231560892,0.11773680864589955,1.0701332092285156,1.1691471338272095,False,5kpbmc vs Rest,5kpbmc,Rest
RASGRP4,0.4834,0.5166,-0.0664244110628921,4.0231716e-05,5.1180185e-05,1e-05,0.25,-0.87691045,-0.817678,4.1121902,-13.062508,10.90675,0.12673908,0.10451367,0.09948542024013722,0.08696757787666878,0.40201544761657715,0.5039771795272827,False,5kpbmc vs Rest,5kpbmc,Rest
HLA-DMB,0.4832,0.5167999999999999,-0.06722530450226782,0.0003670228,0.00042680607,1e-05,0.25,-0.18076427,-0.19742203,3.6457586,-9.338116,9.808132,1.062893,0.6214876,0.30951019630264914,0.26853146853146853,3.5233328342437744,3.775967597961426,False,5kpbmc vs Rest,5kpbmc,Rest
IRAK2,0.4832,0.5167999999999999,-0.06722530450226782,9.681768e-06,1.3111378e-05,1e-05,0.25,-0.59008884,-0.62925243,2.0382683,-7.675743,7.0587225,0.015818562,0.014367451,0.014675052410901468,0.01385886840432295,0.12514124810695648,0.16885586082935333,False,5kpbmc vs Rest,5kpbmc,Rest
SUPT16H,0.4832,0.5167999999999999,-0.06722530450226782,0.0002320925,0.00019404816,1e-05,0.25,0.3033004,0.22151136,1.0859683,-5.2405205,5.7124443,0.31008196,0.18652257,0.23975605107680578,0.15079465988556898,2.190772771835327,1.8285930156707764,False,5kpbmc vs Rest,5kpbmc,Rest
RHOB,0.483,0.517,-0.06802621949428267,0.00035611974,0.00042124416,1e-05,0.25,0.19224857,0.15894127,2.2804022,-6.398423,7.677499,0.9632171,0.81665605,0.3350485991995426,0.28251748251748254,3.9254770278930664,4.388490676879883,False,5kpbmc vs Rest,5kpbmc,Rest
CCDC167,0.483,0.517,-0.06802621949428267,0.0001282908,0.00014047307,1e-05,0.25,-0.1265603,-0.20004177,2.046112,-9.073207,7.074538,0.17762531,0.16579784,0.14389174766533258,0.11328671328671329,1.2772513628005981,1.4379453659057617,False,5kpbmc vs Rest,5kpbmc,Rest
TAGLN,0.4828,0.5172,-0.06882715629669589,4.2022675e-05,3.1487743e-05,1e-05,0.25,0.30882663,0.28378677,2.1219118,-7.141247,8.098003,0.07966457,0.041830897,0.06403659233847914,0.036745073108709475,0.3580542802810669,0.28029531240463257,False,5kpbmc vs Rest,5kpbmc,Rest
AP002884.1,0.4826,0.5174000000000001,-0.06962811516730993,2.9803783e-05,3.7458823e-05,1e-05,0.25,-0.32148758,-0.35291624,2.3504493,-7.779993,9.102622,0.046121594,0.03674507,0.03678292357537641,0.032167832167832165,0.36637529730796814,0.523162841796875,False,5kpbmc vs Rest,5kpbmc,Rest
SESTD1,0.4826,0.5174000000000001,-0.06962811516730993,4.2040258e-05,4.1913052e-05,1e-05,0.25,0.38627952,0.33792162,2.7170694,-7.222928,8.444063,0.11187345,0.07743166,0.09300552696779112,0.06776859504132231,0.46813228726387024,0.5154910683631897,False,5kpbmc vs Rest,5kpbmc,Rest
LUCAT1,0.4824,0.5176000000000001,-0.07042909636396866,1.4390542e-05,1.892334e-05,1e-05,0.25,-0.7363947,-0.6940856,2.9648168,-9.248909,11.715736,0.038307603,0.03191354,0.029921860110539357,0.0277177368086459,0.17329779267311096,0.2030559927225113,False,5kpbmc vs Rest,5kpbmc,Rest
FDPS,0.4824,0.5176000000000001,-0.07042909636396866,0.00027992905,0.00031976597,1e-05,0.25,-0.15657473,-0.21566105,0.99848044,-2.8955116,3.4783545,0.4053745,0.34024158,0.3062702496664761,0.2516211061665607,2.928727388381958,3.331676721572876,False,5kpbmc vs Rest,5kpbmc,Rest
TSHZ2,0.482,0.518,-0.07203112676701429,9.511132e-05,6.00321e-05,1e-05,0.25,0.93306893,1.0166097,4.9797525,-14.480125,13.764314,0.11282638,0.049078196,0.08118925100057175,0.037635092180546725,1.854967474937439,0.8659993410110474,False,5kpbmc vs Rest,5kpbmc,Rest
SLC15A3,0.4816,0.5184,-0.0736332495694576,7.9704725e-05,8.027165e-05,1e-05,0.25,0.33347368,0.327559,3.711562,-11.747737,10.18198,0.21040595,0.1338843,0.14484467314655994,0.10476795931341386,0.7115671634674072,0.6929855942726135,False,5kpbmc vs Rest,5kpbmc,Rest
CXCL2,0.4816,0.5184,-0.0736332495694576,2.1362122e-05,4.432105e-06,1e-05,0.25,2.6352232,2.6961045,4.5526342,-10.502618,14.812021,0.09090909,0.009408773,0.0339241471316943,0.007501589319771138,0.29356175661087036,0.042042359709739685,False,5kpbmc vs Rest,5kpbmc,Rest
HIST1H3C,0.4816,0.5184,-0.0736332495694576,5.626726e-06,8.577019e-07,1e-05,0.25,2.5276425,2.721899,3.5874598,-9.30501,12.386398,0.0045740423,0.0013986015,0.004383457213645893,0.0011443102352193262,0.05262734368443489,0.005861364770680666,False,5kpbmc vs Rest,5kpbmc,Rest
PTAFR,0.4816,0.5184,-0.0736332495694576,7.738537e-05,4.692889e-05,1e-05,0.25,0.84395516,0.8806515,4.656764,-12.544595,13.92763,0.2877835,0.113413855,0.16352201257861634,0.08760330578512397,0.9348931312561035,0.5431733727455139,False,5kpbmc vs Rest,5kpbmc,Rest
PPIL1,0.4814,0.5186,-0.07443434626553058,3.859595e-05,4.7683516e-05,1e-05,0.25,-0.18844143,-0.24631643,2.2903194,-8.286492,10.161334,0.060034305,0.051875398,0.057366113969887556,0.0452638270820089,0.4195082187652588,0.5706794261932373,False,5kpbmc vs Rest,5kpbmc,Rest
SIRPG,0.481,0.519,-0.07603661153792962,8.676812e-05,0.00014321232,1e-05,0.25,-0.27569506,-0.49216986,5.344197,-13.826259,13.831414,0.07775872,0.07412587,0.06556127310844292,0.059758423394787034,0.8040417432785034,1.0823029279708862,False,5kpbmc vs Rest,5kpbmc,Rest
ACAT2,0.481,0.519,-0.07603661153792962,9.109171e-05,0.000106051826,1e-05,0.25,-0.16708063,-0.20851898,2.1102612,-8.358331,9.79058,0.14598818,0.11226955,0.126357918810749,0.09116338207247299,1.0432850122451782,1.195835828781128,False,5kpbmc vs Rest,5kpbmc,Rest
DUSP5,0.481,0.519,-0.07603661153792962,9.3073184e-05,9.7543474e-05,1e-05,0.25,0.22191128,0.21980095,1.7506988,-7.9683733,6.434351,0.15570803,0.12727273,0.12292738707833048,0.08836617927527018,0.9526392221450806,0.9507833123207092,False,5kpbmc vs Rest,5kpbmc,Rest
SYNGR1,0.4808,0.5192,-0.0768377806306142,8.2563965e-05,6.578485e-05,1e-05,0.25,0.015332393,-0.24126339,3.4243329,-9.652459,13.129475,0.1701925,0.09980928,0.1162569087097389,0.08442466624284806,0.9790216684341431,0.8570812344551086,False,5kpbmc vs Rest,5kpbmc,Rest
RGS3,0.4808,0.5192,-0.0768377806306142,8.053522e-05,7.810978e-05,1e-05,0.25,0.17893383,0.22919655,1.9178491,-6.157221,8.312205,0.13016962,0.07768595,0.10653706880121974,0.07171010807374444,0.80582195520401,0.9163767695426941,False,5kpbmc vs Rest,5kpbmc,Rest
CCPG1,0.4808,0.5192,-0.0768377806306142,0.00017944638,0.0001947249,1e-05,0.25,-0.18878603,-0.21972561,0.91572094,-3.970974,3.3134146,0.3451496,0.25123966,0.23575376405565085,0.193006993006993,1.8093392848968506,1.9181071519851685,False,5kpbmc vs Rest,5kpbmc,Rest
LYN,0.4808,0.5192,-0.0768377806306142,0.0003012379,0.0002969766,1e-05,0.25,-0.38704506,-0.24083614,4.497564,-11.815566,12.284449,0.8942253,0.526637,0.3140842386125405,0.2648442466624285,3.0512351989746094,2.950406789779663,False,5kpbmc vs Rest,5kpbmc,Rest
USP46,0.4806,0.5194,-0.07763897437193956,4.4848537e-05,3.7898008e-05,1e-05,0.25,0.2688455,0.27245855,1.70479,-5.748684,6.6077795,0.05679436,0.034075014,0.0512673908900324,0.02975206611570248,0.46106797456741333,0.3003919720649719,False,5kpbmc vs Rest,5kpbmc,Rest
PDE4D,0.4806,0.5194,-0.07763897437193956,8.8235174e-05,0.00010744269,1e-05,0.25,-0.16844368,-0.18741465,2.2546122,-7.7780685,9.890636,0.077568136,0.072218694,0.06803887935963408,0.06242848061029879,0.7460209131240845,0.973798930644989,False,5kpbmc vs Rest,5kpbmc,Rest
CCL5,0.4806,0.5194,-0.07763897437193956,0.0029934864,0.004144342,1e-05,0.25,0.036212835,0.076817036,5.4485,-17.400911,18.100573,2.9029922,2.8907819,0.26033924147131693,0.31532104259376986,25.426830291748047,40.16843032836914,False,5kpbmc vs Rest,5kpbmc,Rest
